2016-12-07 17:30:18.747410||meta||agents||4
2016-12-07 17:30:18.747444||meta||treatnames||control ()@|experimental (politics)
2016-12-07 17:30:18.747550||meta||block_id start||0
2016-12-07 17:30:18.747562||meta||assignment||2@|1@|0@|3
2016-12-07 17:55:02.070707||treatment||visit website||http://votenet.com||0||1
2016-12-07 17:55:07.762813||treatment||visit website||http://blackboxvoting.org||2||1
2016-12-07 17:55:11.250669||treatment||visit website||http://blackboxvoting.org||0||1
2016-12-07 17:55:20.612343||treatment||visit website||http://aristotle.com||2||1
2016-12-07 17:55:22.218734||treatment||visit website||http://aristotle.com||0||1
2016-12-07 17:55:30.888611||treatment||visit website||http://ifes.org||2||1
2016-12-07 17:55:38.965578||treatment||visit website||http://ifes.org||0||1
2016-12-07 17:55:38.978674||treatment||visit website||http://completecampaigns.com||2||1
2016-12-07 17:55:47.402709||treatment||visit website||http://completecampaigns.com||0||1
2016-12-07 17:55:47.938628||treatment||visit website||http://bluestatedigital.com||2||1
2016-12-07 17:55:56.804843||treatment||visit website||http://bluestatedigital.com||0||1
2016-12-07 17:56:04.811928||treatment||visit website||http://electoral-reform.org.uk||2||1
2016-12-07 17:56:12.386669||treatment||visit website||http://fidlar.com||2||1
2016-12-07 17:56:15.982845||treatment||visit website||http://electoral-reform.org.uk||0||1
2016-12-07 17:56:22.693725||treatment||visit website||http://fidlar.com||0||1
2016-12-07 17:56:22.794810||treatment||visit website||http://campaignsandelections.com||2||1
2016-12-07 17:56:32.746605||treatment||visit website||http://electionguide.org||2||1
2016-12-07 17:56:33.478675||treatment||visit website||http://campaignsandelections.com||0||1
2016-12-07 17:56:42.504399||treatment||visit website||http://e-democracy.org||2||1
2016-12-07 17:56:43.336513||treatment||visit website||http://electionguide.org||0||1
2016-12-07 17:56:51.473475||treatment||visit website||http://onlinecandidate.com||2||1
2016-12-07 17:56:53.098678||treatment||visit website||http://e-democracy.org||0||1
2016-12-07 17:56:58.684019||treatment||visit website||http://robodial.org||2||1
2016-12-07 17:56:58.684086||event||progress-marker||training-end||2||1
2016-12-07 17:57:33.108000||error||website timeout||http://onlinecandidate.com||0||1
2016-12-07 17:57:39.999348||treatment||visit website||http://robodial.org||0||1
2016-12-07 17:57:39.999442||event||progress-marker||training-end||0||1
2016-12-07 17:57:43.401143||event||progress-marker||measurement-start||1||0
2016-12-07 17:57:43.575347||event||progress-marker||measurement-start||3||0
2016-12-07 17:57:43.719718||event||progress-marker||measurement-start||2||1
2016-12-07 17:57:45.002984||event||progress-marker||measurement-start||0||1
2016-12-07 17:57:57.569956||measurement||loadtime||0:00:08.847318||2||1
2016-12-07 17:58:00.776770||measurement||loadtime||0:00:12.375185||1||0
2016-12-07 17:58:02.988872||measurement||loadtime||0:00:14.409811||3||0
2016-12-07 17:58:04.419556||measurement||loadtime||0:00:14.412906||0||1
2016-12-07 17:58:07.507588||measurement||ad||2016-12-07 17:58:06.907785@|Dental Plans For Seniors@|exploreshops.net@|Looking For Dental Plans For Seniors? Find The Right Provider ||2||1
2016-12-07 17:58:07.507652||measurement||loadtime||0:00:04.933043||2||1
2016-12-07 17:58:10.210194||measurement||loadtime||0:00:04.430167||1||0
2016-12-07 17:58:15.157721||measurement||loadtime||0:00:05.735052||0||1
2016-12-07 17:58:16.876842||measurement||loadtime||0:00:08.886196||3||0
2016-12-07 17:58:18.312977||measurement||ad||2016-12-07 17:58:17.736646@|Online LL.M in 1 Year@|college.ch@|Online Master of Laws in 1 Year. No bachelor required. Do you want to know more? ||2||1
2016-12-07 17:58:18.408317||measurement||loadtime||0:00:05.897410||2||1
